division,date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
region,2022-11-29,10:50発走,水沢,2,6,ホイッスルヴォイス,54.26636833340609,6.0,,202236112902
region,2022-11-29,10:50発走,水沢,2,4,スプレンダーシチー,46.158712295290584,7.0,,202236112902
region,2022-11-29,10:50発走,水沢,2,11,ナタンドラ,45.621340280830395,8.0,,202236112902
region,2022-11-29,10:50発走,水沢,2,8,シャイニーキャット,44.84591040179566,9.0,,202236112902
region,2022-11-29,10:50発走,水沢,2,7,ナンヨーリリー,36.748551811931385,10.0,,202236112902
region,2022-11-29,10:50発走,水沢,2,10,イチフジクイン,35.839630879045735,11.0,,202236112902
region,2022-11-29,11:10発走,園田,2,8,フロレンティア,67.13563369747843,1.0,,202250112902
region,2022-11-29,11:10発走,園田,2,4,エスティフィン,55.83163893008728,2.0,,202250112902
region,2022-11-29,11:10発走,園田,2,6,ライトギフト,51.029042382536716,3.0,,202250112902
region,2022-11-29,11:10発走,園田,2,2,ヤシロケンチャン,50.715766570922966,4.0,,202250112902
region,2022-11-29,11:10発走,園田,2,7,ウィンチップ,46.32413310739133,5.0,,202250112902
region,2022-11-29,11:10発走,園田,2,1,ネバーエバー,46.31356080444814,6.0,,202250112902
region,2022-11-29,11:10発走,園田,2,3,スマイルジョナス,45.15621580740077,7.0,,202250112902
region,2022-11-29,11:10発走,園田,2,5,オキザリスレディー,37.49400869973477,8.0,,202250112902
region,2022-11-29,11:20発走,水沢,3,10,シャイニーデューク,68.35285694561468,1.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,1,ジュレップグラス,60.65501798678434,2.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,2,ピッコロバンビーナ,56.21368035227549,3.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,11,フィエルボワ,52.60811891552375,4.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,8,クイーンオブロード,51.6531427735885,5.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,5,キセキノホシ,49.84716750982059,6.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,6,ベガエクスプレス,49.53273114179378,7.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,4,バイオレットモーヴ,44.66046440299822,8.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,9,ウィンターアゲイン,42.63935183556326,9.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,7,ウインスペリウス,39.99838186139462,10.0,,202236112903
region,2022-11-29,11:20発走,水沢,3,3,ナススイート,33.83908627464328,11.0,,202236112903
region,2022-11-29,11:25発走,金沢,3,5,ティアン,63.330700725522995,1.0,,202246112903
